Year,NOC,Gold,Silver,Bronze,Is_Host,Total_medals,Total_events_4_Years,Total_events_8_Years,Total_events_12_Years,Total_disciplines_4_Years,Total_disciplines_8_Years,Total_disciplines_12_Years,Total_sports_4_Years,Total_sports_8_Years,Total_sports_12_Years,Participants_4_Years,Participants_8_Years,Participants_12_Years,Gold_4_Years,Gold_8_Years,Gold_12_Years,Total_medals_4_Years,Total_medals_8_Years,Total_medals_12_Years
1956,JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,JAM,0,1,0,0,1,136,0,0,23,0,0,17,0,0,26,0,0,1,0,0,3,0,0
1972,JAM,0,0,1,0,1,149,0,0,23,0,0,17,0,0,16,0,0,5,0,0,8,0,0
1976,JAM,1,1,0,0,2,151,0,0,23,0,0,17,0,0,13,0,0,0,0,0,0,0,0
1980,JAM,0,0,3,0,3,163,0,0,25,0,0,19,0,0,32,0,0,0,0,0,0,0,0
1984,JAM,0,5,2,0,7,172,136,0,24,23,0,18,17,0,35,26,0,0,1,0,1,3,0
1988,JAM,0,7,0,0,7,195,149,0,28,23,0,21,17,0,51,16,0,0,5,0,1,8,0
1992,JAM,0,3,1,0,4,198,151,0,27,23,0,21,17,0,36,13,0,1,0,0,2,0,0
1996,JAM,1,3,12,0,16,203,163,0,27,25,0,21,19,0,32,32,0,0,0,0,3,0,0
2000,JAM,0,20,3,0,23,221,172,136,29,24,23,21,18,17,75,35,26,0,0,1,7,1,3
2004,JAM,6,1,6,0,13,237,195,149,31,28,23,23,21,17,49,51,16,0,0,5,7,1,8
2008,JAM,5,3,6,0,14,257,198,151,34,27,23,25,21,17,51,36,13,0,1,0,4,2,0
2012,JAM,8,9,8,0,25,271,203,163,37,27,25,25,21,19,69,32,32,1,0,0,16,3,0
2016,JAM,11,17,2,0,30,300,221,172,40,29,24,27,21,18,65,75,35,0,0,0,23,7,1
2020,JAM,9,1,11,0,21,301,237,195,40,31,28,27,23,21,62,49,51,6,0,0,13,7,1
2024,JAM,1,3,2,0,6,302,257,198,42,34,27,27,25,21,66,51,36,5,0,1,14,4,2
1980,JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,JOR,0,0,0,0,0,203,0,0,27,0,0,21,0,0,6,0,0,0,0,0,0,0,0
2000,JOR,0,0,0,0,0,221,0,0,29,0,0,21,0,0,15,0,0,0,0,0,0,0,0
2004,JOR,0,0,0,0,0,237,0,0,31,0,0,23,0,0,9,0,0,0,0,0,0,0,0
2008,JOR,0,0,0,0,0,257,0,0,34,0,0,25,0,0,5,0,0,0,0,0,0,0,0
2012,JOR,0,0,0,0,0,271,203,0,37,27,0,25,21,0,5,6,0,0,0,0,0,0,0
2016,JOR,1,0,0,0,1,300,221,0,40,29,0,27,21,0,8,15,0,0,0,0,0,0,0
2020,JOR,0,1,1,0,2,301,237,0,40,31,0,27,23,0,8,9,0,0,0,0,0,0,0
2024,JOR,0,1,0,0,1,302,257,0,42,34,0,27,25,0,7,5,0,0,0,0,0,0,0
1912,JPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,JPN,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,JPN,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,JPN,2,6,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,JPN,10,17,4,0,31,102,0,0,18,0,0,14,0,0,4,0,0,0,0,0,0,0,0
1936,JPN,9,4,10,0,23,156,0,0,29,0,0,22,0,0,26,0,0,0,0,0,3,0,0
1952,JPN,1,9,2,0,12,126,0,0,23,0,0,17,0,0,37,0,0,0,0,0,1,0,0
1956,JPN,4,15,5,0,24,109,0,0,20,0,0,14,0,0,56,0,0,2,0,0,9,0,0
1960,JPN,9,10,12,0,31,117,102,0,20,18,0,14,14,0,203,4,0,10,0,0,31,0,0
1964,JPN,32,5,25,1,62,129,156,0,25,29,0,19,22,0,325,26,0,9,0,0,23,3,0
1968,JPN,16,25,22,0,63,149,126,0,23,23,0,17,17,0,133,37,0,1,0,0,12,1,0
1972,JPN,29,19,8,0,56,151,109,0,23,20,0,17,14,0,222,56,0,4,2,0,24,9,0
1976,JPN,25,6,10,0,41,150,117,102,23,20,18,17,14,14,278,203,4,9,10,0,31,31,0
1984,JPN,10,8,31,0,49,163,129,156,25,25,29,19,19,22,456,325,26,32,9,0,62,23,3
1988,JPN,4,3,13,0,20,172,149,126,24,23,23,18,17,17,289,133,37,16,1,0,63,12,1
1992,JPN,3,8,36,0,47,195,151,109,28,23,20,21,17,14,293,222,56,29,4,2,56,24,9
1996,JPN,3,26,13,0,42,198,150,117,27,23,20,21,17,14,328,278,203,25,9,10,41,31,31
2000,JPN,5,31,8,0,44,221,163,129,29,25,25,21,19,19,365,456,325,10,32,9,49,62,23
2004,JPN,21,20,52,0,93,237,172,149,31,24,23,23,18,17,412,289,133,4,16,1,20,63,12
2008,JPN,23,15,13,0,51,257,195,151,34,28,23,25,21,17,392,293,222,3,29,4,47,56,24
2012,JPN,7,44,33,0,84,271,198,150,37,27,23,25,21,17,448,328,278,3,25,9,42,41,31
2016,JPN,17,13,34,0,64,300,221,163,40,29,25,27,21,19,363,365,456,5,10,32,44,49,62
2020,JPN,68,41,22,1,131,301,237,172,40,31,24,27,23,18,414,412,289,21,4,16,93,20,63
2024,JPN,27,31,24,0,82,302,257,195,42,34,28,27,25,21,457,392,293,23,3,29,51,47,56
1996,KAZ,3,4,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,KAZ,3,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,KAZ,1,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,KAZ,2,4,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,KAZ,7,1,5,0,13,271,0,0,37,0,0,25,0,0,142,0,0,3,0,0,11,0,0
2016,KAZ,3,5,10,0,18,300,0,0,40,0,0,27,0,0,158,0,0,3,0,0,7,0,0
2020,KAZ,0,0,8,0,8,301,0,0,40,0,0,27,0,0,130,0,0,1,0,0,8,0,0
2024,KAZ,1,3,4,0,8,302,0,0,42,0,0,27,0,0,146,0,0,2,0,0,13,0,0
1956,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,KEN,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,KEN,3,7,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,KEN,5,3,4,0,12,151,0,0,23,0,0,17,0,0,31,0,0,0,0,0,0,0,0
1984,KEN,1,0,2,0,3,150,0,0,23,0,0,17,0,0,30,0,0,0,0,0,0,0,0
1988,KEN,5,2,2,0,9,163,0,0,25,0,0,19,0,0,41,0,0,0,0,0,1,0,0
1992,KEN,2,4,2,0,8,172,0,0,24,0,0,18,0,0,50,0,0,3,0,0,12,0,0
1996,KEN,1,4,3,0,8,195,151,0,28,23,0,21,17,0,69,31,0,5,0,0,12,0,0
2000,KEN,2,3,2,0,7,221,150,0,29,23,0,21,17,0,67,30,0,1,0,0,3,0,0
2004,KEN,1,4,2,0,7,237,163,0,31,25,0,23,19,0,88,41,0,5,0,0,9,1,0
2008,KEN,6,4,5,0,15,257,172,0,34,24,0,25,18,0,55,50,0,2,3,0,8,12,0
2012,KEN,2,4,5,0,11,271,195,151,37,28,23,25,21,17,54,69,31,1,5,0,8,12,0
2016,KEN,6,6,1,0,13,300,221,150,40,29,23,27,21,17,59,67,30,2,1,0,7,3,0
2020,KEN,4,4,2,0,10,301,237,163,40,31,25,27,23,19,46,88,41,1,5,0,7,9,1
2024,KEN,4,2,5,0,11,302,257,172,42,34,24,27,25,18,47,55,50,6,2,3,15,8,12
1996,KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,KGZ,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,KGZ,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,KGZ,0,0,0,0,0,271,0,0,37,0,0,25,0,0,53,0,0,0,0,0,0,0,0
2016,KGZ,0,0,0,0,0,300,0,0,40,0,0,27,0,0,71,0,0,0,0,0,1,0,0
2020,KGZ,0,2,1,0,3,301,0,0,40,0,0,27,0,0,32,0,0,0,0,0,0,0,0
2024,KGZ,0,2,4,0,6,302,0,0,42,0,0,27,0,0,22,0,0,0,0,0,2,0,0
2004,KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,KIR,0,0,0,0,0,301,0,0,40,0,0,27,0,0,3,0,0,0,0,0,0,0,0
2024,KIR,0,0,0,0,0,302,0,0,42,0,0,27,0,0,2,0,0,0,0,0,0,0,0
1948,KOR,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,KOR,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,KOR,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,KOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,KOR,0,2,1,0,3,136,0,0,23,0,0,17,0,0,48,0,0,0,0,0,2,0,0
1968,KOR,0,1,1,0,2,149,0,0,23,0,0,17,0,0,22,0,0,0,0,0,2,0,0
1972,KOR,0,1,0,0,1,151,0,0,23,0,0,17,0,0,36,0,0,0,0,0,2,0,0
1976,KOR,1,1,15,0,17,150,0,0,23,0,0,17,0,0,49,0,0,0,0,0,0,0,0
1984,KOR,6,28,7,0,41,163,136,0,25,23,0,19,17,0,240,48,0,0,0,0,3,2,0
1988,KOR,28,37,12,1,77,172,149,0,24,23,0,18,17,0,66,22,0,0,0,0,2,2,0
1992,KOR,28,5,16,0,49,195,151,0,28,23,0,21,17,0,43,36,0,0,0,0,1,2,0
1996,KOR,10,49,7,0,66,198,150,0,27,23,0,21,17,0,51,49,0,1,0,0,17,0,0
2000,KOR,12,26,35,0,73,221,163,136,29,25,23,21,19,17,240,240,48,6,0,0,41,3,2
2004,KOR,14,28,10,0,52,237,172,149,31,24,23,23,18,17,551,66,22,28,0,0,77,2,2
2008,KOR,41,11,26,0,78,257,195,151,34,28,23,25,21,17,322,43,36,28,0,0,49,1,2
2012,KOR,18,13,30,0,61,271,198,150,37,27,23,25,21,17,417,51,49,10,1,0,66,17,0
2016,KOR,13,3,10,0,26,300,221,163,40,29,25,27,21,19,359,240,240,12,6,0,73,41,3
2020,KOR,14,7,17,0,38,301,237,172,40,31,24,27,23,18,344,551,66,14,28,0,52,77,2
2024,KOR,21,14,23,0,58,302,257,195,42,34,28,27,25,21,329,322,43,41,28,0,78,49,1
2016,KOS,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,KOS,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,KOS,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,KSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,KSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,KSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,KSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,KSA,0,0,0,0,0,195,0,0,28,0,0,21,0,0,14,0,0,0,0,0,0,0,0
1996,KSA,0,0,0,0,0,198,0,0,27,0,0,21,0,0,19,0,0,0,0,0,0,0,0
2000,KSA,0,1,1,0,2,221,0,0,29,0,0,21,0,0,42,0,0,0,0,0,0,0,0
2004,KSA,0,0,0,0,0,237,0,0,31,0,0,23,0,0,13,0,0,0,0,0,0,0,0
2008,KSA,0,0,0,0,0,257,195,0,34,28,0,25,21,0,17,14,0,0,0,0,0,0,0
2012,KSA,0,0,4,0,4,271,198,0,37,27,0,25,21,0,34,19,0,0,0,0,0,0,0
2016,KSA,0,0,0,0,0,300,221,0,40,29,0,27,21,0,23,42,0,0,0,0,2,0,0
2020,KSA,0,1,0,0,1,301,237,0,40,31,0,27,23,0,16,13,0,0,0,0,0,0,0
2024,KSA,0,0,0,0,0,302,257,195,42,34,28,27,25,21,18,17,14,0,0,0,0,0,0
1968,KUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,KUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,KUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,KUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,KUW,0,0,0,0,0,172,0,0,24,0,0,18,0,0,2,0,0,0,0,0,0,0,0
1988,KUW,0,0,0,0,0,195,0,0,28,0,0,21,0,0,4,0,0,0,0,0,0,0,0
1992,KUW,0,0,0,0,0,198,0,0,27,0,0,21,0,0,21,0,0,0,0,0,0,0,0
1996,KUW,0,0,0,0,0,203,0,0,27,0,0,21,0,0,67,0,0,0,0,0,0,0,0
2000,KUW,0,0,1,0,1,221,172,0,29,24,0,21,18,0,31,2,0,0,0,0,0,0,0
2004,KUW,0,0,0,0,0,237,195,0,31,28,0,23,21,0,34,4,0,0,0,0,0,0,0
2008,KUW,0,0,0,0,0,257,198,0,34,27,0,25,21,0,37,21,0,0,0,0,0,0,0
2012,KUW,0,0,1,0,1,271,203,0,37,27,0,25,21,0,27,67,0,0,0,0,0,0,0
2020,KUW,0,0,1,0,1,300,221,172,40,29,24,27,21,18,30,31,2,0,0,0,1,0,0
2024,KUW,0,0,0,0,0,301,237,195,40,31,28,27,23,21,11,34,4,0,0,0,0,0,0
1980,LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,LAO,0,0,0,0,0,203,0,0,27,0,0,21,0,0,19,0,0,0,0,0,0,0,0
2004,LAO,0,0,0,0,0,237,0,0,31,0,0,23,0,0,3,0,0,0,0,0,0,0,0
2008,LAO,0,0,0,0,0,257,0,0,34,0,0,25,0,0,7,0,0,0,0,0,0,0,0
2012,LAO,0,0,0,0,0,271,0,0,37,0,0,25,0,0,5,0,0,0,0,0,0,0,0
2016,LAO,0,0,0,0,0,300,203,0,40,27,0,27,21,0,3,19,0,0,0,0,0,0,0
2020,LAO,0,0,0,0,0,301,237,0,40,31,0,27,23,0,5,3,0,0,0,0,0,0,0
2024,LAO,0,0,0,0,0,302,257,0,42,34,0,27,25,0,4,7,0,0,0,0,0,0,0
1924,LAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,LAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,LAT,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,LAT,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,LAT,0,2,1,0,3,126,0,0,23,0,0,17,0,0,47,0,0,0,0,0,0,0,0
1996,LAT,0,1,0,0,1,109,0,0,20,0,0,14,0,0,24,0,0,0,0,0,0,0,0
2000,LAT,1,1,1,0,3,117,0,0,20,0,0,14,0,0,13,0,0,0,0,0,1,0,0
2004,LAT,0,4,0,0,4,129,0,0,25,0,0,19,0,0,33,0,0,0,0,0,2,0,0
2008,LAT,1,1,1,0,3,257,126,0,34,23,0,25,17,0,40,47,0,0,0,0,3,0,0
2012,LAT,1,0,2,0,3,271,109,0,37,20,0,25,14,0,55,24,0,0,0,0,1,0,0
2016,LAT,0,0,0,0,0,300,117,0,40,20,0,27,14,0,60,13,0,1,0,0,3,1,0
2020,LAT,4,0,1,0,5,301,129,0,40,25,0,27,19,0,45,33,0,0,0,0,4,2,0
2024,LAT,0,0,0,0,0,302,257,126,42,34,23,27,25,17,53,40,47,1,0,0,3,3,0
1968,LBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,LBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,LBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,LBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,LBA,0,0,0,0,0,172,0,0,24,0,0,18,0,0,1,0,0,0,0,0,0,0,0
2000,LBA,0,0,0,0,0,203,0,0,27,0,0,21,0,0,38,0,0,0,0,0,0,0,0
2004,LBA,0,0,0,0,0,237,0,0,31,0,0,23,0,0,7,0,0,0,0,0,0,0,0
2008,LBA,0,0,0,0,0,257,0,0,34,0,0,25,0,0,5,0,0,0,0,0,0,0,0
2012,LBA,0,0,0,0,0,271,172,0,37,24,0,25,18,0,5,1,0,0,0,0,0,0,0
2016,LBA,0,0,0,0,0,300,203,0,40,27,0,27,21,0,3,38,0,0,0,0,0,0,0
2020,LBA,0,0,0,0,0,301,237,0,40,31,0,27,23,0,8,7,0,0,0,0,0,0,0
2024,LBA,0,0,0,0,0,302,257,0,42,34,0,27,25,0,6,5,0,0,0,0,0,0,0
2020,LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,LBR,0,0,0,0,0,151,0,0,23,0,0,17,0,0,11,0,0,0,0,0,0,0,0
1988,LBR,0,0,0,0,0,150,0,0,23,0,0,17,0,0,6,0,0,0,0,0,0,0,0
1996,LBR,0,0,0,0,0,163,0,0,25,0,0,19,0,0,2,0,0,0,0,0,0,0,0
2000,LBR,0,0,0,0,0,195,0,0,28,0,0,21,0,0,5,0,0,0,0,0,0,0,0
2004,LBR,0,0,0,0,0,221,151,0,29,23,0,21,17,0,10,11,0,0,0,0,0,0,0
2008,LBR,0,0,0,0,0,237,150,0,31,23,0,23,17,0,11,6,0,0,0,0,0,0,0
2012,LBR,0,0,0,0,0,271,163,0,37,25,0,25,19,0,7,2,0,0,0,0,0,0,0
2016,LBR,0,0,0,0,0,300,195,0,40,28,0,27,21,0,10,5,0,0,0,0,0,0,0
2020,LBR,0,0,0,0,0,301,221,151,40,29,23,27,21,17,2,10,11,0,0,0,0,0,0
2024,LBR,0,0,0,0,0,302,237,150,42,31,23,27,23,17,4,11,6,0,0,0,0,0,0
1996,LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,LCA,0,0,0,0,0,271,0,0,37,0,0,25,0,0,8,0,0,0,0,0,0,0,0
2016,LCA,0,0,0,0,0,300,0,0,40,0,0,27,0,0,5,0,0,0,0,0,0,0,0
2020,LCA,0,0,0,0,0,301,0,0,40,0,0,27,0,0,2,0,0,0,0,0,0,0,0
2024,LCA,1,1,0,0,2,302,0,0,42,0,0,27,0,0,4,0,0,0,0,0,0,0,0
1972,LES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,LES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,LES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,LES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,LES,0,0,0,0,0,195,0,0,28,0,0,21,0,0,2,0,0,0,0,0,0,0,0
1996,LES,0,0,0,0,0,203,0,0,27,0,0,21,0,0,7,0,0,0,0,0,0,0,0
2000,LES,0,0,0,0,0,221,0,0,29,0,0,21,0,0,5,0,0,0,0,0,0,0,0
2004,LES,0,0,0,0,0,237,0,0,31,0,0,23,0,0,6,0,0,0,0,0,0,0,0
2008,LES,0,0,0,0,0,257,195,0,34,28,0,25,21,0,8,2,0,0,0,0,0,0,0
2012,LES,0,0,0,0,0,271,203,0,37,27,0,25,21,0,11,7,0,0,0,0,0,0,0
2016,LES,0,0,0,0,0,300,221,0,40,29,0,27,21,0,6,5,0,0,0,0,0,0,0
2020,LES,0,0,0,0,0,301,237,0,40,31,0,27,23,0,3,6,0,0,0,0,0,0,0
2024,LES,0,0,0,0,0,302,257,195,42,34,28,27,25,21,5,8,2,0,0,0,0,0,0
1948,LIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,LIB,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,LIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,LIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,LIB,0,0,0,0,0,136,0,0,23,0,0,17,0,0,9,0,0,0,0,0,0,0,0
1972,LIB,0,1,0,0,1,149,0,0,23,0,0,17,0,0,9,0,0,0,0,0,2,0,0
1976,LIB,0,0,0,0,0,150,0,0,23,0,0,17,0,0,22,0,0,0,0,0,0,0,0
1980,LIB,0,0,1,0,1,163,0,0,25,0,0,19,0,0,8,0,0,0,0,0,0,0,0
1984,LIB,0,0,0,0,0,172,136,0,24,23,0,18,17,0,15,9,0,0,0,0,0,0,0
1988,LIB,0,0,0,0,0,195,149,0,28,23,0,21,17,0,36,9,0,0,0,0,1,2,0
1992,LIB,0,0,0,0,0,198,150,0,27,23,0,21,17,0,4,22,0,0,0,0,0,0,0
1996,LIB,0,0,0,0,0,203,163,0,27,25,0,21,19,0,19,8,0,0,0,0,1,0,0
2000,LIB,0,0,0,0,0,221,172,136,29,24,23,21,18,17,30,15,9,0,0,0,0,0,0
2004,LIB,0,0,0,0,0,237,195,149,31,28,23,23,21,17,31,36,9,0,0,0,0,1,2
2008,LIB,0,0,0,0,0,257,198,150,34,27,23,25,21,17,18,4,22,0,0,0,0,0,0
2012,LIB,0,0,0,0,0,271,203,163,37,27,25,25,21,19,1,19,8,0,0,0,0,1,0
2016,LIB,0,0,0,0,0,300,221,172,40,29,24,27,21,18,6,30,15,0,0,0,0,0,0
1936,LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,LIE,0,0,0,0,0,129,0,0,25,0,0,19,0,0,8,0,0,0,0,0,0,0,0
1968,LIE,0,0,0,0,0,136,0,0,23,0,0,17,0,0,2,0,0,0,0,0,0,0,0
1972,LIE,0,0,0,0,0,149,0,0,23,0,0,17,0,0,2,0,0,0,0,0,0,0,0
1976,LIE,0,0,0,0,0,150,0,0,23,0,0,17,0,0,8,0,0,0,0,0,0,0,0
1984,LIE,0,0,0,0,0,163,129,0,25,25,0,19,19,0,3,8,0,0,0,0,0,0,0
1988,LIE,0,0,0,0,0,172,136,0,24,23,0,18,17,0,3,2,0,0,0,0,0,0,0
1992,LIE,0,0,0,0,0,195,149,0,28,23,0,21,17,0,12,2,0,0,0,0,0,0,0
1996,LIE,0,0,0,0,0,198,150,0,27,23,0,21,17,0,9,8,0,0,0,0,0,0,0
2000,LIE,0,0,0,0,0,221,163,129,29,25,25,21,19,19,8,3,8,0,0,0,0,0,0
2004,LIE,0,0,0,0,0,237,172,136,31,24,23,23,18,17,16,3,2,0,0,0,0,0,0
2008,LIE,0,0,0,0,0,257,195,149,34,28,23,25,21,17,8,12,2,0,0,0,0,0,0
2012,LIE,0,0,0,0,0,271,198,150,37,27,23,25,21,17,2,9,8,0,0,0,0,0,0
2016,LIE,0,0,0,0,0,300,221,163,40,29,25,27,21,19,2,8,3,0,0,0,0,0,0
2020,LIE,0,0,0,0,0,301,237,172,40,31,24,27,23,18,1,16,3,0,0,0,0,0,0
2024,LIE,0,0,0,0,0,302,257,195,42,34,28,27,25,21,2,8,12,0,0,0,0,0,0
1924,LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,LTU,1,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,LTU,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,LTU,2,0,15,0,17,126,0,0,23,0,0,17,0,0,13,0,0,0,0,0,0,0,0
2004,LTU,1,2,0,0,3,109,0,0,20,0,0,14,0,0,13,0,0,0,0,0,0,0,0
2008,LTU,0,2,3,0,5,257,0,0,34,0,0,25,0,0,54,0,0,1,0,0,13,0,0
2012,LTU,2,1,2,0,5,271,0,0,37,0,0,25,0,0,81,0,0,0,0,0,11,0,0
2016,LTU,0,2,5,0,7,300,126,0,40,23,0,27,17,0,77,13,0,2,0,0,17,0,0
2020,LTU,0,1,0,0,1,301,109,0,40,20,0,27,14,0,70,13,0,1,0,0,3,0,0
